"PPN","title","subtitle","name 1 display","name 1 family","name 1 given","name 1 role","publication place","publication date","publisher","language","name 2 given","name 2 part","name 2 family","name 2 role","name 3 display","name 3 role","number of pages","classification of the Zentrales Verzeichnis Digitalisierter Drucker","DDC classification","MARC genre terms","PPN of physical work","licence","access condition","PURL","file","groundtruth","classification"
"PPN1814684999","Die Heimath in Amerika","eine Erzählung aus der neuesten Zeit ; zur Belehrung und Warnung für die reifere und gebildetere Jugend","Schmid, Christoph, von","Schmid","Christoph","aut","Augsburg","1850","J. A. Schlosser's Buch- und Kunsthandlung","ger",,,,"fnd",,,"97","Kinder- und Jugendbücher",,"Jugendbuch","PPN59957240X","Public Domain Mark 1.0","open access","https://resolver.staatsbibliothek-berlin.de/SBB0003379F00000000","data/PPN1814684999/00000006_0.jpg","Abbildung","Abbildung"
"PPN1877493295","Bilderbuch",,,,,"fnd","[Deutschland?]","1890","[Verlag nicht ermittelbar]","ger",,,,,,,"17","Kinder- und Jugendbücher",,"Bilderbuch","PPN777079097","Public Domain Mark 1.0","open access","https://resolver.staatsbibliothek-berlin.de/SBB00035ADC00000000","data/PPN1877493295/00000001_0.jpg","-0","Abbildung"
"PPN1877493295","Bilderbuch",,,,,"fnd","[Deutschland?]","1890","[Verlag nicht ermittelbar]","ger",,,,,,,"17","Kinder- und Jugendbücher",,"Bilderbuch","PPN777079097","Public Domain Mark 1.0","open access","https://resolver.staatsbibliothek-berlin.de/SBB00035ADC00000000","data/PPN1877493295/00000010_2.jpg","-0","Abbildung"
"PPN1877493295","Bilderbuch",,,,,"fnd","[Deutschland?]","1890","[Verlag nicht ermittelbar]","ger",,,,,,,"17","Kinder- und Jugendbücher",,"Bilderbuch","PPN777079097","Public Domain Mark 1.0","open access","https://resolver.staatsbibliothek-berlin.de/SBB00035ADC00000000","data/PPN1877493295/00000012_0.jpg","-0","Abbildung"
"PPN1877493295","Bilderbuch",,,,,"fnd","[Deutschland?]","1890","[Verlag nicht ermittelbar]","ger",,,,,,,"17","Kinder- und Jugendbücher",,"Bilderbuch","PPN777079097","Public Domain Mark 1.0","open access","https://resolver.staatsbibliothek-berlin.de/SBB00035ADC00000000","data/PPN1877493295/00000007_2.jpg","Abbildung","Farbtafel"
"PPN1877493295","Bilderbuch",,,,,"fnd","[Deutschland?]","1890","[Verlag nicht ermittelbar]","ger",,,,,,,"17","Kinder- und Jugendbücher",,"Bilderbuch","PPN777079097","Public Domain Mark 1.0","open access","https://resolver.staatsbibliothek-berlin.de/SBB00035ADC00000000","data/PPN1877493295/00000003_0.jpg","-0","Abbildung"
"PPN1877493295","Bilderbuch",,,,,"fnd","[Deutschland?]","1890","[Verlag nicht ermittelbar]","ger",,,,,,,"17","Kinder- und Jugendbücher",,"Bilderbuch","PPN777079097","Public Domain Mark 1.0","open access","https://resolver.staatsbibliothek-berlin.de/SBB00035ADC00000000","data/PPN1877493295/00000006_1.jpg","Abbildung","Farbtafel"
"PPN1877493295","Bilderbuch",,,,,"fnd","[Deutschland?]","1890","[Verlag nicht ermittelbar]","ger",,,,,,,"17","Kinder- und Jugendbücher",,"Bilderbuch","PPN777079097","Public Domain Mark 1.0","open access","https://resolver.staatsbibliothek-berlin.de/SBB00035ADC00000000","data/PPN1877493295/00000010_0.jpg","-0","Abbildung"
"PPN1877493295","Bilderbuch",,,,,"fnd","[Deutschland?]","1890","[Verlag nicht ermittelbar]","ger",,,,,,,"17","Kinder- und Jugendbücher",,"Bilderbuch","PPN777079097","Public Domain Mark 1.0","open access","https://resolver.staatsbibliothek-berlin.de/SBB00035ADC00000000","data/PPN1877493295/00000007_0.jpg","-0","Abbildung"
"PPN1877493295","Bilderbuch",,,,,"fnd","[Deutschland?]","1890","[Verlag nicht ermittelbar]","ger",,,,,,,"17","Kinder- und Jugendbücher",,"Bilderbuch","PPN777079097","Public Domain Mark 1.0","open access","https://resolver.staatsbibliothek-berlin.de/SBB00035ADC00000000","data/PPN1877493295/00000004_1.jpg","Abbildung","Farbtafel"
"PPN1877493295","Bilderbuch",,,,,"fnd","[Deutschland?]","1890","[Verlag nicht ermittelbar]","ger",,,,,,,"17","Kinder- und Jugendbücher",,"Bilderbuch","PPN777079097","Public Domain Mark 1.0","open access","https://resolver.staatsbibliothek-berlin.de/SBB00035ADC00000000","data/PPN1877493295/00000009_0.jpg","-0","Abbildung"
"PPN1877493295","Bilderbuch",,,,,"fnd","[Deutschland?]","1890","[Verlag nicht ermittelbar]","ger",,,,,,,"17","Kinder- und Jugendbücher",,"Bilderbuch","PPN777079097","Public Domain Mark 1.0","open access","https://resolver.staatsbibliothek-berlin.de/SBB00035ADC00000000","data/PPN1877493295/00000013_1.jpg","-0","Abbildung"
"PPN1877493295","Bilderbuch",,,,,"fnd","[Deutschland?]","1890","[Verlag nicht ermittelbar]","ger",,,,,,,"17","Kinder- und Jugendbücher",,"Bilderbuch","PPN777079097","Public Domain Mark 1.0","open access","https://resolver.staatsbibliothek-berlin.de/SBB00035ADC00000000","data/PPN1877493295/00000011_0.jpg","Abbildung","Farbtafel"
"PPN1877493295","Bilderbuch",,,,,"fnd","[Deutschland?]","1890","[Verlag nicht ermittelbar]","ger",,,,,,,"17","Kinder- und Jugendbücher",,"Bilderbuch","PPN777079097","Public Domain Mark 1.0","open access","https://resolver.staatsbibliothek-berlin.de/SBB00035ADC00000000","data/PPN1877493295/00000014_0.jpg","-0","Abbildung"
"PPN1877493295","Bilderbuch",,,,,"fnd","[Deutschland?]","1890","[Verlag nicht ermittelbar]","ger",,,,,,,"17","Kinder- und Jugendbücher",,"Bilderbuch","PPN777079097","Public Domain Mark 1.0","open access","https://resolver.staatsbibliothek-berlin.de/SBB00035ADC00000000","data/PPN1877493295/00000013_0.jpg","-0","Abbildung"
"PPN1877493295","Bilderbuch",,,,,"fnd","[Deutschland?]","1890","[Verlag nicht ermittelbar]","ger",,,,,,,"17","Kinder- und Jugendbücher",,"Bilderbuch","PPN777079097","Public Domain Mark 1.0","open access","https://resolver.staatsbibliothek-berlin.de/SBB00035ADC00000000","data/PPN1877493295/00000006_0.jpg","-0","Abbildung"
"PPN1877493295","Bilderbuch",,,,,"fnd","[Deutschland?]","1890","[Verlag nicht ermittelbar]","ger",,,,,,,"17","Kinder- und Jugendbücher",,"Bilderbuch","PPN777079097","Public Domain Mark 1.0","open access","https://resolver.staatsbibliothek-berlin.de/SBB00035ADC00000000","data/PPN1877493295/00000008_0.jpg","-0","Abbildung"
